Summary,Issue key,Issue id,Issue Type,Status,Project key,Project lead,Project lead id,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Created,Updated,Last Viewed,Resolved,Affects versions,Affects versions,Affects versions,Fix versions,Components,Components,Description,Custom field (Development),Custom field (Email enabled),Comment,,Status Category,Status Category Changed
LTI Group Grading screen should look like the grading screen does for individual submissions,SAK-50360,67888,Feature Request,Awaiting Review,SAK,Core Team,6164d8abc7bea400699b1b9e,Major,,Charles R Severance,557058:718cd3f6-5ff9-42fa-8914-b4224aff1730,Andrea Schmidt,557058:093e0ced-45f4-4932-853a-c54031e22f52,8/7/2024 19:46,8/8/2024 0:27,8/8/2024 1:36,,25.0 [Tentative],,,,LTI,Plus,"Testing [https://sakaiproject.atlassian.net/browse/SAK-48745|https://sakaiproject.atlassian.net/browse/SAK-48745|smart-link] everything is working really well except the instructor’s grading screen. At one time when the group submissions were working well for LTI, (a very brief period before they broke again), the instructor did see the regular grading screen for the sticky grader when clicking on a group submission.

Now, the instructor has to select Student Data from the Instructor drop-down, which then lists all the students who have submitted. I only had 3 group submissions, so I could easily figure out which student needed to be graded, but in a course with 50 or 100 students and many groups, this may be very frustrating to the instructor.

This is the only issue I found. Otherwise the LTI group stuff is working well!",{},,08/Aug/24 12:27 AM;557058:718cd3f6-5ff9-42fa-8914-b4224aff1730;Yikes - a regression it would seem - I will get on this.  Thanks.,,To Do,8/7/2024 19:46
Portal: Background not darkened when timeout warning displays,SAK-50359,67887,Bug,Awaiting Review,SAK,Core Team,6164d8abc7bea400699b1b9e,Major,,Sean Horner,557058:38ecdcf2-1531-4ba3-967f-08694ec3676d,Sean Horner,557058:38ecdcf2-1531-4ba3-967f-08694ec3676d,8/7/2024 18:17,8/7/2024 18:24,8/8/2024 1:36,,23.3 [Tentative],25.0 [Tentative],,,Library,Portal,"Prior to Sakai 23, a portalMask div would display coincident with (and behind) the timeout warning modal, which helps the warning to stand out and be more noticeable for users.","{pullrequest={dataType=pullrequest, state=OPEN, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2024-08-07T18:24:08.000-0400"",""stateCount"":1,""state"":""OPEN"",""dataType"":""pullrequest"",""open"":true},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,"07/Aug/24 6:24 PM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;A pull request has been created, ""SAK-50359 Portal: Background not darkened when timeout warning displays"", you can see it at https://github.com/sakaiproject/sakai/pull/12780",,To Do,8/7/2024 18:17
"Fixed the responsiveness of Assignment, Chat Room, and Discussion tools",SAK-50358,67886,Sub-task,Awaiting Review,SAK,Core Team,6164d8abc7bea400699b1b9e,Major,,,,Sharadhi Raghuraj,61510b2272f6970069e0f593,8/7/2024 10:51,8/7/2024 10:51,8/8/2024 1:36,,,,,,Assignments,Chat,TBD,{},,,,To Do,8/7/2024 10:51
SEB launching error,SAK-50357,67885,Bug,Awaiting Review,SAK,Core Team,6164d8abc7bea400699b1b9e,Major,,Core Team,6164d8abc7bea400699b1b9e,Guru Priya Rajesh,613747b1c425a20068f7ce2d,8/7/2024 2:12,8/7/2024 10:40,8/8/2024 1:36,,22.3,,,,Tests & Quizzes (Samigo),,"While launching the Safe Exam Browser from tests and quizzes, we encountered a connection error when establishing S2U 22.",{},,,,To Do,8/7/2024 2:12
What is the reason for Safe Exam Browser being removed from Sakai 22.3.x and moved to S2U 22.x? Is there a chance that the Safe Exam Browser feature will be included in future versions of Sakai?,SAK-50356,67884,Bug,Resolved,SAK,Core Team,6164d8abc7bea400699b1b9e,Major,Non-Issue,Bernardo Garcia Vila,557058:b7f26689-4872-49f3-9655-910bea8a4c71,Guru Priya Rajesh,613747b1c425a20068f7ce2d,8/7/2024 1:35,8/7/2024 2:31,8/8/2024 1:36,8/7/2024 2:31,23,,,,Tests & Quizzes (Samigo),,What is the reason for Safe Exam Browser being removed from Sakai 22.3.x and moved to S2U 22.x? Is there a chance that the Safe Exam Browser feature will be included in future versions of Sakai?,{},,"07/Aug/24 2:30 AM;557058:b7f26689-4872-49f3-9655-910bea8a4c71;Hi, the integration with SEB was developed (with European funding and requested by Spanish Universities group) for a special branch of 22.x called s2u-22x because new features are not usually added to released Sakai versions. But it was contributed to master and you can also make use of it from 25.x.

If you need help backporting it to an official 22.x we could help you out with that.

You can follow it all here → [https://sakaiproject.atlassian.net/browse/S2U-21|https://sakaiproject.atlassian.net/browse/S2U-21|smart-link] 

Closing this jira.",,Done,8/7/2024 2:31
 Complete question types when previewing on question pool,SAK-50355,67883,Bug,Resolved,SAK,Core Team,6164d8abc7bea400699b1b9e,Minor,Fixed,Jesus Maria Mendez Perez,557058:41fcbac4-a91a-45ed-b774-07f473189e6d,Jesus Maria Mendez Perez,557058:41fcbac4-a91a-45ed-b774-07f473189e6d,8/6/2024 9:41,8/7/2024 9:50,8/8/2024 1:36,8/7/2024 9:50,25.0 [Tentative],,,,Tests & Quizzes (Samigo),,"Some questions types are missing here: [https://github.com/sakaiproject/sakai-security/commit/dd49432d5059384b3c7865d8dc1d061383bcb803#diff-17669031b0586855e98989ba6edcba599dde766d039a416ed677bdd2e12b1e7bR35|https://github.com/sakaiproject/sakai-security/commit/dd49432d5059384b3c7865d8dc1d061383bcb803#diff-17669031b0586855e98989ba6edcba599dde766d039a416ed677bdd2e12b1e7bR35|smart-link] 

Missing:

* matrix_choices_surv
* extended_matching_items (only enabled by property)
* calculated_question
* image_map_question}","{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2024-08-07T07:35:29.000-0400"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,"06/Aug/24 9:46 AM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;A pull request has been created, ""SAK-50355 Complete question types when previewing on question pool"", you can see it at https://github.com/sakaiproject/sakai/pull/12779",,Done,8/7/2024 9:50
Upgrading jsoup version 1.18.1,SAK-50354,67882,Bug,Resolved,SAK,Core Team,6164d8abc7bea400699b1b9e,Minor,Fixed,Jesus Maria Mendez Perez,557058:41fcbac4-a91a-45ed-b774-07f473189e6d,Jesus Maria Mendez Perez,557058:41fcbac4-a91a-45ed-b774-07f473189e6d,8/6/2024 4:33,8/7/2024 7:07,8/8/2024 1:36,8/7/2024 7:07,,,,,Master,,Upgrading jsoup version 1.18.1,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2024-08-07T05:01:11.000-0400"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,"06/Aug/24 4:35 AM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;A pull request has been created, ""SAK-50354 Upgrading jsoup version 1.18.1"", you can see it at https://github.com/sakaiproject/sakai/pull/12778",,Done,8/7/2024 7:07
Gradebook: Double horizontal scroll ,SAK-50352,67880,Bug,Awaiting Review,SAK,Core Team,6164d8abc7bea400699b1b9e,Major,,,,Christina Schwiebert,70121:edd71bdf-212f-4544-92f7-2fc8fb688af3,8/5/2024 11:16,8/6/2024 2:40,8/8/2024 1:36,,23.3 [Tentative],25.0 [Tentative],,,Gradebook,,"In Gradebook, there is a double-scroll present in all browser sizes I tested. When the left navigation pane is not present (collapsed or mobile view), the outer scroll seems to be just barely larger than the gradebook width, so it doesn’t have a significant impact (although it still looks bad). However, when the navigation pane is present, the outer scrollbar is enough to have either the last gradebook item hidden, or the student names/ids hidden. ",{},,,,To Do,8/5/2024 11:16
"Gradebook: Custom export with no GB items results in extra columns, data in wrong columns",SAK-50351,67879,Bug,Awaiting Review,SAK,Core Team,6164d8abc7bea400699b1b9e,Major,,,,Christina Schwiebert,70121:edd71bdf-212f-4544-92f7-2fc8fb688af3,8/5/2024 11:04,8/6/2024 2:40,8/8/2024 1:36,,22.6 [Tentative],23.3 [Tentative],25.0 [Tentative],,Gradebook,,"If an instructor has a gradebook with no GB items, the custom export option is always including the gradebook items and comments, even if those items are not selected. If the instructor selects other options that would have data (ie Course Grade Overrides), that data is shown in the column it would be if the example gradebook items were not present. 

See the attached files for examples. In the class I exported from, there were no gradebook items, but two students had course grade overrides

NoItems = The default export - Student ID, Student Name, Gradebook Item Scores, Gradebook Item Comments

CourseGrade_Override = Student ID, Student Name, Course Grade, Grade Override

GradeOverrideOnly = Student ID, Student Name, Grade Override

Items_CourseGrade_Override = Student ID, Student Name, Gradebook Item Scores, Gradebook Item Comments, Course Grade, Grade Override



I assume that the example items are added to the export to help inexperienced instructors edit the export file for re-import. However, I would expect that the example items are present only when gradebook item scores or gradebook item comments are selected, but are not included in the export when those options are not selected. Regardless of whether these are selected or not, the course grade override data should appear in the correct column",{},,,,To Do,8/5/2024 11:04
Samigo: Feedback should be interpreted when printing PDF report from a submission with global variables on feedback,SAK-50350,67878,Bug,Awaiting Review,SAK,Core Team,6164d8abc7bea400699b1b9e,Major,,Jesus Maria Mendez Perez,557058:41fcbac4-a91a-45ed-b774-07f473189e6d,Jesus Maria Mendez Perez,557058:41fcbac4-a91a-45ed-b774-07f473189e6d,8/5/2024 8:48,8/6/2024 2:40,8/8/2024 1:36,,25.0 [Tentative],,,,Tests & Quizzes (Samigo),,No global variables should be shown when printing a PDF report from a submission with global variables on feedback,{},,,,To Do,8/5/2024 8:48
